Shortlisted,Company_Name,Profile,Job_Description
0,159Solutions Pvt Ltd,Analytics Associate Consultant,"  : 

Associate consultants will have the opportunity to leverage a wide variety of skills: 

- Process large-scale healthcare datasets using SAS, R, SQL, other database management tools 

- Develop advanced statistical models that relate promotion and product sales 

- Build simulation models using Excel/VBA to assess the effects of sales and marketing programs based on different permutation / combinations 

- Perform exploratory and predictive analytics (CART, ridge regression, SVM, etc.) to address complex business problems 

- Assist with creation of PowerPoint slides and online visualization (e.g. highcharts, Qlik, etc.) to communicate findings 

- Mentor junior associates and assist with multiple work streams to deliver high quality deliverables on time 

- Advance analytics knowledge base and assist with new capabilities development 

 : 

The position is expected to work at least 40 hours per week, and distribute work as per the tasks assigned. Here's an approximate breakout of time spent on different tasks: 

- Processing data and building integrated datasets for analysis: 30% 

- Building advanced statistical models: 30% 

- Preparing presentation materials to communicate results: 15% 

- Project and team management and firm contribution : 15% 

- Advancing analytics knowledge and training: 10% 

Consulting is a fast-paced environment, and the candidate should be open to learning new skills quickly and deliver work under tight timelines. The candidates needs to be flexible working with multiple clients and managing analysis to deliver high quality work. The position will be responsible for delivering high quality work under consultant supervision and guidance from the Principal / Manager. 

Qualifications : 

159 solutions seeks candidates with strong programming, database management, and statistics and mathematics background. We welcome candidates with at least a bachelor's degree in computer science, business analytics, engineering, or related quantitative disciplines: 

- Two+ years of experience in quantitative analysis 

- Strong skills in manipulation of large complex data sets 

- Ability to quickly learn the basics of healthcare and become proficient in the use of proprietary data sets 

- High motivation, strong work-ethic and positive attitude while working under tight timelines 

- Strong attention to detail, and focus on quality 

- Team management and Excel/VBA experience would be a plus 

- Willingness to mentor associates and dedication to continuous learning
Desired Candidate Profile

Education-
UG: B.Tech/B.E. - Any Specialization
PG:Any Postgraduate - Any Specialization
Doctorate:Doctorate Not Required"
0,ANZ Support Services India Pvt. Ltd.,Senior Credit Assessment Officer,"
Part of Retail Lending Operations, ANZ Bangalore, the Home Loans Assessment Team is a function that is responsible for Underwriting/Judgmental Credit Decision of Home Loans for Australian Customers. 

Credit Assessment or Underwriting is the detailed credit analysis preceding the grant of a loan. The credit analysis includes verifying and assessing an applicants current financial position, employment history, credit history, credit needs, ability to pay and the asset being offered as security. 

The Credit Assessors hold various levels of Credit Approval Discretion (CAD) ranging from AUD 1.5 Million up-to 4.0 Customer types include Pay As You Go (Salaried), Sole Trader, Self Employed, Guarantor, Foreign Income, Partnerships, Company, Trusts etc. 

Mandatory Skills and Experience:

* 2-8 Total Work Experience in Underwriting/Assessment (Mortgages/Insurance, Credit Assessment, Analysis) or related fields
* Experience in the BFSI Industry
* Graduate/Post-Graduates (CA Inter/CA/MBA Finance/P.G (Mathematics) with Mathematics as a Core Subject preferred)
* Strong Analytical, Reasoning and Problem Solving Skills
* Strong Written and Verbal Communication Skills
* Ability to work under pressure
* Flexibility to work in shifts"
0,Aranca,Senior Analyst/assistant Manager ," SPECIFICATION

Position : Senior Analyst / Assistant Manager - Sellside Equity Research (Banking Sector)

Location : Gurgaon/Mumbai

Reporting to : Manager - Equity Research

KEY 

- This is a position wherein the selected candidate will be responsible for initiating, executing and delivering quality sell side equity research on banking sector to the global clients, exposure to GCC markets preferred.

- Prior experience in sell side equity research is a must. Candidate will be responsible for initiating coverage on banking sector.

- Such a person should possess a strong blend of analytical thinking and operations execution.

- Excellent financial modeling skills with ability to understand and formulate business drivers (revenue, cost, etc.) including experience in building models from scratch. Desired Candidate Profile
POSITION REQUIREMENTS

Functional Requirements:

- CA rankers, CFA's or MBA's from top tier institutes

- 3-6 years- experience in Equity research

- Strong financial knowledge and expertise in banking sector.

Soft skills & Behavioral skills:

- Top notch analytical and communication skills

- Self-starter and highly motivated.

- Superior knowledge of concepts of finance & accounting, valuation methodologies and stock analysis

- Strong writing skills with the ability to lay out investment arguments and thesis lucidly. Experience in supporting clients during the earnings season with report writing experience ranging from earnings flash notes to initiating coverage.

- High level communication skills with the ability to express views clearly and succinctly

- Analytical thinking is required to enable him / her to structure and guide research / consulting assignments with clients, and manage the project internally.

- Proficiency in database like Bloomberg and Capital IQ"
0,BDO India LLP,Associate / Senior Associate - Forensic Data Analytics,"1. Carry out data analytics on large structured and unstructured datasets using a wide range of database management systems, BI reporting and visualization software
2. Carry out investigative methodologies to identify issues and gather relevant evidence
3. Assist in developing tools/solutions directed towards future prevention, continuous monitoring, detection and investigation of occupational fraud and financial crime
4. Develop supporting material on the benefits of forensic data analytics for clients and fraud examiners, explaining how it can be applied to their issues
5. Ensure proper execution of fieldwork as per work plan and adherence to assignment mandates
6. Assist in drafting detailed reports on observations/findings within scheduled timelines
7. Summarize and communicate analysis results with accuracy and attention to detail
8. Liaise with clients and build on existing client relationships
9. Ensure compliance to the firm's risk management policies and procedures 
Desired Candidate Profile
1. Strong analytical and problem solving skills
2. Strong quantitative ability with aptitude to manipulate, interpret, and present data
3. Demonstrated track-record of efficient project execution
4. In-depth understanding of Forensic investigation process and demonstrated capabilities of using Forensic Data Analytical tools for conducting analysis and gathering evidence
5. Ability to work within tight deadlines and tough client conditions, which may require working for extended hours
6. Experience of data extraction, analysis, cleaning, quality, and manipulation skills
7. Experience of handling large data volumes (including efficiency and scalability concepts)
8. Experience in big data analysis and manipulation with any of the following software: MySQL, SAS, and SPSS
9. Knowledge of statistical techniques and analysis such as regression, clustering, sampling, social network analysis, etc.
Education-
UG: Any Graduate - Any Specialization
PG:Any Postgraduate - Any Specialization
"
0,BDO India LLP,Associate / Senior Associate - Forensic Data Analytics,"
1. Carry out data analytics on large structured and unstructured datasets using a wide range of database management systems, BI reporting and visualization software
2. Carry out investigative methodologies to identify issues and gather relevant evidence
3. Assist in developing tools/solutions directed towards future prevention, continuous monitoring, detection and investigation of occupational fraud and financial crime
4. Develop supporting material on the benefits of forensic data analytics for clients and fraud examiners, explaining how it can be applied to their issues
5. Ensure proper execution of fieldwork as per work plan and adherence to assignment mandates
6. Assist in drafting detailed reports on observations/findings within scheduled timelines
7. Summarize and communicate analysis results with accuracy and attention to detail
8. Liaise with clients and build on existing client relationships
9. Ensure compliance to the firm's risk management policies and procedures
Desired Candidate Profile
1. Strong analytical and problem solving skills
2. Strong quantitative ability with aptitude to manipulate, interpret, and present data
3. Demonstrated track-record of efficient project execution
4. In-depth understanding of Forensic investigation process and demonstrated capabilities of using Forensic Data Analytical tools for conducting analysis and gathering evidence
5. Ability to work within tight deadlines and tough client conditions, which may require working for extended hours
6. Experience of data extraction, analysis, cleaning, quality, and manipulation skills
7. Experience of handling large data volumes (including efficiency and scalability concepts)
8. Experience in big data analysis and manipulation with any of the following software: MySQL, SAS, and SPSS
9. Knowledge of statistical techniques and analysis such as regression, clustering, sampling, social network analysis, etc.
Education-
UG: Any Graduate - Any Specialization
PG:Any Postgraduate - Any Specialization"
0,BIS Research - Startup,Research Associate/ Analyst,"
: 
Device a research plan and effective research strategy to conduct market research effectively
Work and design analysis plan and most effective search strategies. Gather required information and filter relevant themes from, subscription databases, the Internet, print media, company representatives, external research organizations, telephonic interviews with industry experts, etc. Utilize both secondary and primary (interview, survey) research sources and techniques
Organize, analyze, synthesize and/or summarize data and information using appropriate analytical tools. Conduct quantitative (statistical analysis, financial data analysis, etc.) and qualitative analysis (in-depth interviews, etc) as necessary
Communicate research results through the creation of structured end-products (memos, spreadsheets, reports, presentations, etc.)
Expected to prepare and deliver Industry and Sector Research in their Areas of Specializations.
Desired Candidate Profile
Experienced in writing and designing research reports from more than one industry verticals
Clear understanding of basics for Market Research, including primary research and secondary research
Proficient in quantitative and qualitative data collection and further analysis
Previous experience in analyzing data using different techniques
Good teamwork and communication skills, as will be expected to head the entire research team of Research Managers, Research Analysts and Research Associates
Have good command over business English, so that he or she can overview for report content and also work in collaboration with the Research Editor to develop writing guidelines
Previous experience in analyzing data using different techniques
2 to 3 years of work experience as a Research Analyst in the Market Research domain
Education-
UG: Any Graduate - Any Specialization
PG:Any Postgraduate - Any Specialization
Doctorate:Doctorate Not Required"
0,BIS Research - Startup,Research Associate/ Analyst,"BIS Research is looking to hire candidates for Research Aoociate/Analyst for its Delhi Office to join immediately. BIS Research boasts of impressive international clientele ranging from technology giants (such as Panasonic, Robert Bosch, Tekna) to Big Tobacco (Japan Tobacco International, Philip Morris), leading startups, and universities... 

: 
Device a research plan and effective research strategy to conduct market research effectively
Work and design analysis plan and most effective search strategies. Gather required information and filter relevant themes from, subscription databases, the Internet, print media, company representatives, external research organizations, telephonic interviews with industry experts, etc. Utilize both secondary and primary (interview, survey) research sources and techniques
Organize, analyze, synthesize and/or summarize data and information using appropriate analytical tools. Conduct quantitative (statistical analysis, financial data analysis, etc.) and qualitative analysis (in-depth interviews, etc) as necessary
Communicate research results through the creation of structured end-products (memos, spreadsheets, reports, presentations, etc.)
Expected to prepare and deliver Industry and Sector Research in their Areas of Specializations.
Desired Candidate Profile
Experienced in writing and designing research reports from more than one industry verticals
Clear understanding of basics for Market Research, including primary research and secondary research
Proficient in quantitative and qualitative data collection and further analysis
Previous experience in analyzing data using different techniques
Good teamwork and communication skills, as will be expected to head the entire research team of Research Managers, Research Analysts and Research Associates
Have good command over business English, so that he or she can overview for report content and also work in collaboration with the Research Editor to develop writing guidelines
Previous experience in analyzing data using different techniques
2 to 3 years of work experience as a Research Analyst in the Market Research domain
Education-
UG: Any Graduate - Any Specialization
PG:Any Postgraduate - Any Specialization
Doctorate:Doctorate Not Required"
0,Careernet Technologies Pvt Ltd,Credit Risk Analytics/modelling- Stress Testing SAS Modelling,"chelors/Post Graduate in mathematics/ statistics/ economics or Bachelors degree in technology or MBA
Experience of working in model development will be preferred. PD, LGD, EAD, Basel model development. Credit risk modelling, loss forecasting and CCAR modelling. Credit card analytics, SCorecard development and models.
Technical skills (SAS, VBA, EXCEL etc) 
Excellent communication skills; being able to ""translate"" between the two worlds is the major thing in the day to day work. 
Proven ability to produce clear summaries and reports from complex factual information, including both written documentation and graphical material 
Good organizational, analytical, problem-solving and project management skills. 
Preferably, familiarity with bank stress testing including loss & risk estimation techniques is preferred Desired Candidate Profile
Please refer to the   above
Education-
UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Statistics
PG:MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MS/M.Sc(Science) - Any Specialization, Maths, Statistics
"
0,Citicorp Services India Pvt Ltd,Assistant Manager - Data Scientist,"

The  of Principal Analyst is based at Global Decision Management COE and reports to the Assistant Vice President (AVP)/ Vice President (VP) leading one of the teams.
The key requirement for the  is the ability to work with large scale data and new tools/techniques to build strong capabilities in Big Data, Machine Learning, Digital and FinTech to solve key business challenges.

Qualifications


2-4 years of experience in the field of advanced quantitative techniques, data sciences and large scale machine learning while working for leading global academic institutes or corporate innovation research labs or analytics organizations of large corporates or in consulting companies in analytics 
Strong academic record and publications in reputed journals or conferences
Preferred field of post-graduation/graduation Computer Science, Mathematics, Operations Research, Statistics, Econometrics, Management Science and related fields
Other graduate degree holder also can apply"
0,cKers Finance,Analyst/associate - Venture Debt Fund," : 

You would support the following : 

- Creating project/company financial models and carrying out financial statement analysis 

- Conducting client background checks and site visits to support credit decisions 

- Preparing credit assessment notes 

- Deal execution and project/ loan documentation 

- Monitor client operations/key milestones/project cash flows 

- Build an in-depth operational understanding of various segments and work with channel partners to refine lending and monitoring strategies 

About You : 

Firstly, you should be looking to join an organization in its early stages. In addition : 

- You must have strong analytical ( quantitative as well as qualitative) skills including building models 

- You should have a strong financial statement analysis foundation 

- You have excellent communication, writing skills, and presentation skills 

You must have : 

- A Masters Degree /Professional Certification such as MBA or CA / CFA 

- Proficiency with Microsoft Excel 

- Excellent presentation skills. 

- Ability to work - hands-on- and multi-task in an energetic environment 
Desired Candidate Profile

Education-
UG: Any Graduate - Any Specialization
PG:MBA/PGDM - Any Specialization, CS
Doctorate:Doctorate Not Required"
